incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC002898,Property Damage,CENTRAL,Oakdale,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,OFF0035,John,Jones,9036,SUS00005,Ashley,Harris,49,FEMALE,BLACK,VIC00682,Mark,Young,47,N/A,596-444-9767,N/A,High,Under Investigation,,0,27438.67,False,Incident at 9798 Elm Blvd. Officer responded at scene.
INC003264,Narcotics,central,Fairview,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:36,OFF0111,Donna,Thompson,4688,,,,,,,VIC00084,Anthony,Nguyen,35,Unknown,855-624-8658,Bat,low,OPEN,N/A,-5,41738.8,Yes,
INC003052,Burglry,Eas,Hillcrest,OH,5420 River Rd,47.020966,-83.072251,2020-07-04 13:31:15,OFF0104,James,Taylor,,SUS00783,Anthony,Martin,33,M,Asian,VIC00960,Mark,Taylor,55,male,832-278-8736,Rifle,Critical,N/A,warning,2,-34291.84,No,Incident at 5420 River Rd. Officer responded at scene.
INC000524,THEFT,Northeast  ,Centerville,FL,6121 Oak Ave,44.872436,-106.852051,2023-07-30 09:05:34,OFF0014,Joseph,Smith,4335,SUS00236,Thomas,Jones,162,female,hispanic,VIC00569,Robert,Scott,-41,male,655-760-3556,Knife,4,Resolved,,2,3201.56,1,Incident at 6121 Oak Ave. Officer responded at scene.
INC000560,Fraudulent Activity,midtown,Centerville,OH,5094 Main St,28.121432,-84.979481,04/01/2020 03:09,OFF0046,Donna,Thompson,8121,SUS00074,Daniel,Thompson,52,Other,white,VIC00821,Barbara,Johnson,26,M,N/A,Pistol,3,,warning,3,37228.41,1,Incident at 5094 Main St. Officer responded at scene.
INC000812,Drug Offense,Nor,Riverside,CA,5556 River Rd,47.561353,-85.069404,2020-11-26 07:15:19,OFF0133,emily,Nguyen,8079,SUS00606,Chris,Garcia,21,m,Asian,VIC00071,Daniel,Jackson,82,female,628-122-3246,Blunt Object,High,OPEN,NO ARREST,,41473.0,YES,
INC003999,Armed Robbery, Southeast,Centerville,PA,6637 Lincoln St,25.262347,-73.445871,2021-11-05 17:21:18,OFF0097,Ashley,Davis,6651,SUS00776,Joseph,Brown,18,male,BLACK,VIC00676,Linda,Nguyen,,Female,897-102-9006,Knife,,Pendng,,3,,1,Incident at 6637 Lincoln St. Officer responded at scene.
INC003972,Arsen,SOUTHWEST,Centerville,IL,3221 Cedar Lane,25.80811,-106.368949,2022-10-07 17:15:25,OFF0141,Charles,Nguyen,7634,,,,,,,VIC00846,Donna,Jackson,82,F,924-985-8530,,CRITICAL,Pending,Warning Issued,4,,yes,Incident at 3221 Cedar Lane. Officer responded at scene.
INC000949,Abduction,North,Maplewood,CA,5783 Main St,40.614362,-80.606867,2024-11-23 19:30:48,OFF0020,Susan,Walker,2599,SUS00636,Richard,Wright,57,,N/A,VIC00228,Mary,Walker,49,MALE,N/A,N/A,Medium,,No Arrest,2,31931.65,,Incident at 5783 Main St. Officer responded at scene.
INC002839,Graffiti, East,Hillcrest,FL,5563 Lincoln St,31.366741,-81.476181,2018-08-26 04:50:54,OFF0050,John,Smith,9830,SUS00294,Michael,Jones,51,F,Hispanic,VIC00850,David,Williams,,m,N/A,Bat,2,Closed,Warning Issued,0,6546.79,,Incident at 5563 Lincoln St. Officer responded at scene.
INC002859,Trespass,Mid,Maplewood,PA,1522 Lincoln St,43.213574,-112.532649,2019-10-15 08:23:45,OFF0020,Joseph,Walker,6621,SUS00207,Mary,Brown,42,Female,Hispanic,VIC00225,Patricia,Green,12,MALE,527-108-7397,Knife,low,closed,Dismissed,5,26845.31,1,Incident at 1522 Lincoln St. Officer responded at scene.
INC004651,CYBER CRIME,  EAST  ,Oakdale,OH,3806 Washington Ave,39.701184,60.9112,2020-03-20 14:28:36,OFF0059,Sarah,Martin,5314,SUS00385,James,Young,35,Male,BLACK,VIC00777,Donna,Young,55,f,701-395-6824,firearm,4,Open,warning,3,2167.35,no,Incident at 3806 Washington Ave. Officer responded at scene.
INC003793,Armed Robbery, South,Lakewood,CA,3852 River Rd,35.044905,-83.999129,2019-01-04 05:16:46,OFF0064,Jessica,Walker,9763,SUS00630,Donna,Harris,,male,BLACK,VIC00208,Richard,Anderson,,Male,,Gun,MEDIUM,under investigation,Arrest Made,3,38573.92,NO,Incident at 3852 River Rd. Officer responded at scene.
INC004688,trespassing,Wes,Lakewood,PA,1550 Sunset Blvd,25.112438,-97.442801,2021-08-28 15:30:49,OFF0094,Anthony,Moore,2483,SUS00220,Robert,Wright,58,Other,Unknown,VIC00521,Mark,Harris,33,f,294-211-8872,Bat,Med,Open,Arres Made,1.0,8534.94,True,Incident at 1550 Sunset Blvd. Officer responded at scene.
INC003745,asslt,Central  ,Riverside,NY,2767 River Rd,28.234244,,2018-01-24 15:33:18,OFF0018,James,Lee,5491,SUS00769,Donna,Thompson,54,Unknown,white,VIC00116,Thomas,Miller,74,FEMALE,762-638-3161,firearm,Low,Resolved,Arrest Made,2,24970.35,0,Incident at 2767 River Rd. Officer responded at scene.
INC002571,Sexual Assault,North,Centerville,AZ,4669 Washington Ave,25.148272,-93.057116,2023-05-28 05:34:09,OFF0144,Michelle,Flores,4616,SUS00376,James,Thompson,61,male,Hispanic,VIC00147,Susan,Nguyen,292,Other,,Knife,,N/A,,3,,No,Incident at 4669 Washington Ave. Officer responded at scene.
INC002592,FRAUD,midtown,Riverside,PA,3360 Sunset Blvd,25.974863,-96.956091,2020-08-15 12:17:24,OFF0082,Anthony,Thompson,4313,SUS00733,Karen,Green,58,Female,Black,VIC00333,Barbara,Johnson,64.0,m,(806) -68-2-4246,Blunt Object,2,Closed,warning,3,,NO,Incident at 3360 Sunset Blvd. Officer responded at scene.
INC003754,theft/larceny,Sou,Maplewood,FL,120 Oak Ave,34.995351,-74.532818,2020-05-17 13:46:21,OFF0017,EMILY,Brown,2857,SUS00615,Jennifer,Martin,57,MALE,asian,VIC00223,David,Hill,41,MALE,771-406-4573,N/A,4,Pending,No Arrest,0,483.77,Yes,Incident at 120 Oak Ave. Officer responded at scene.
INC003891,Narcotics,Eas,Centerville,OH,393 Elm Blvd,108.6542,-89.43987,2018-11-28 21:17:46,OFF0008,David,Moore,3817,SUS00378,Sarah,White,31.0,F,White,VIC00734,Carol,Wright,69,MALE,486-955-5798,Gun,2,Investgation,Arres Made,2,29148.65,NO,
INC001824,Trespass,West,Fairview,PA,2876 River Rd,29.118935,-89.958829,2019-07-14 02:11:20,OFF0069,John,Anderson,2450,SUS00248,Ashley,Johnson,20,MALE,Other,VIC00621,Joseph,Brown,36,,917-543-5246,Blunt Object,High,closed,,0,25983.21,NO,
INC003739,Larceny,East,Springfield,NC,6343 Sunset Blvd,44.749794,-73.947406,2021-07-18 12:36:42,OFF0031,MICHELLE,Martin,9056,SUS00344,Ashley,Moore,63,Male,hispanic,VIC00171,Daniel,Taylor,43,male,,,,Investgation,Warning Issued,4,41970.69,0,
INC004507,arson,West  ,Maplewood,NC,3637 Sunset Blvd,,-71.382964,2020-06-19 16:28:10,OFF0129,Sarah,Torres,9283,SUS00485,Susan,Young,42,f,white,VIC00335,Charles,Martin,39,MALE,983-275-9311,Rifle,,open,Arrest Made,4,9134.49,yes,Incident at 3637 Sunset Blvd. Officer responded at scene.
INC002064,HOMICIDE, Central,Lakewood,NC,4740 Washington Ave,44.042164,,2021-07-15 16:16:52,OFF0062,Donna,Moore,3585,SUS00784,Joseph,Jones,32.0,male,hispanic,VIC00095,James,Martin,33.0,f,769-824-7668,Bat,Critical,N/A,No Arrest,4,42488.18,yes,Incident at 4740 Washington Ave. Officer responded at scene.
INC000769,Domestc Violence,Wes,Lakewood,TX,2829 Main St,37.746236,-75.794667,2020-04-01 01:39:34,OFF0141,Barbara,Jones,7093,SUS00038,Nancy,Thomas,63,F,,VIC00620,Matthew,White,74,female,367-133-2010,Blunt Object,low,Closed,,2,6820.75,1,
INC000900,Tresspassing,Sou,Oakdale,FL,9483 Park Rd,26.435438,,2023-07-11 10:36:57,OFF0097,Patricia,Anderson,1920,,,,,,,VIC00863,Richard,Brown,60,Unknown,(255) -32-5-8101,,Low,closed,Arres Made,0,13459.71,No,Incident at 9483 Park Rd. Officer responded at scene.
INC001193,TRESPASSING,north,Lakewood,OH,4072 Oak Ave,40.228054,-75.920794,2019-07-28 16:30:31,OFF0122,Jennifer,Anderson,,SUS00293,Charles,Torres,38,M,Unknown,VIC00013,James,White,83.0,M,,hands,2,open,warning,3,7425.53,False,Incident at 4072 Oak Ave. Officer responded at scene.
INC004887,Cybercrime,Nor,Riverside,GA,1646 Oak Ave,34.412742,-85.854041,2024-01-29 18:13:58,OFF0028,Daniel,Flores,8763,SUS00238,Joseph,Moore,50,N/A,Hispanic,VIC00699,Daniel,Nguyen,17,Female,624-369-6990,,,Open,warning,,14830.28,no,Incident at 1646 Oak Ave. Officer responded at scene.
INC000015,asslt,WEST,Riverside,GA,3034 Park Rd,29.976847,-96.821673,2024-03-01 04:58:24,OFF0135,Nancy,Moore,2647,SUS00199,Susan,Garcia,34.0,Male,N/A,VIC00547,Mary,Johnson,80,female,914-229-9042,Hands/Feet,3,Open,Arres Made,2,23469.85,0,Incident at 3034 Park Rd. Officer responded at scene.
INC002728,BURGLARY,west,Oakdale,PA,6010 Cedar Lane,38.426433,-119.113425,2020-04-16 08:11:15,OFF0132,William,Scott,5151,SUS00293,Michael,Allen,35,male,Other,VIC00765,Barbara,Green,,MALE,305-811-4555,None,Low,Resolved,,0,3381.3,1,Incident at 6010 Cedar Lane. Officer responded at scene.
INC004684,HOMICIDE,Northeast,Maplewood,GA,6859 Oak Ave,34.916346,-83.935027,2020-09-09 11:34:44,OFF0078,Emily,Jackson,3050,SUS00546,Carol,Johnson,21,m,hispanic,VIC00905,Robert,Johnson,21,female,548-542-9323,Blunt Object,low,Open,NO ARREST,4,21921.32,yes,Incident at 6859 Oak Ave. Officer responded at scene.
INC002900,ARSON,SOUTHWEST,Springfield,GA,5328 Elm Blvd,39.803413,-103.317577,2022-06-14 08:43:36,OFF0101,Barbara,Green,4082,SUS00527,Jessica,Moore,34,MALE,N/A,VIC00501,Jessica,Johnson,36,N/A,554-518-5824,Hands/Feet,1,open,NO ARREST,,22890.42,yes,Incident at 5328 Elm Blvd. Officer responded at scene.
INC000244,trespassing,East,Oakdale,TX,919 Sunset Blvd,39.661998,-118.759075,,OFF0140,William,Hill,4181,SUS00671,James,Taylor,68,,white,VIC00920,Mark,Young,56,FEMALE,214-780-7605,N/A,3,N/A,N/A,0,3247.75,True,
INC000317,Hacking,Southwest,Maplewood,NC,839 Sunset Blvd,47.743973,61.9776,2023-08-17 13:15:02,OFF0142,Barbara,Scott,2898,SUS00241,Richard,Thompson,61,M,Hispanic,VIC00559,James,Hall,64.0,Female,536-762-5023,Unarmed,Low,Closed,Warning Issued,5,36550.83,yes,Incident at 839 Sunset Blvd. Officer responded at scene.
INC003964,ARSON,Sou,Springfield,GA,4240 Cedar Lane,163.9564,,2019-01-06 00:57:12,OFF0150,Patricia,Torres,6755,SUS00018,Joseph,Flores,15,FEMALE,Unknown,VIC00946,Robert,Green,46,m,899-764-3953,KNIFE,1,Pendng,Dismissed,4,891.23,1,Incident at 4240 Cedar Lane. Officer responded at scene.
INC002377,Trespassing,West  ,Maplewood,NC,5442 Lincoln St,34.234368,-86.65302,2024-08-31 09:30:47,OFF0075,Linda,Jones,5568,SUS00313,Charles,Anderson,52,F,hispanic,VIC00457,Jessica,Brown,-65,f,,KNIFE,2,Closed,N/A,2,35446.9.0,No,Incident at 5442 Lincoln St. Officer responded at scene.
INC000950,ASSAULT,Southwest  ,Springfield,NY,438 Lincoln St,37.308371,85.9617,2018-09-18 12:05:55,OFF0134,Michael,Wilson,4277,SUS00281,Michael,Jackson,,M,BLACK,VIC00541,Carol,Martin,73,MALE,830-744-5076,Gun,CRITICAL,Under Investigation,,-5,13029.45,1,Incident at 438 Lincoln St. Officer responded at scene.
INC001130,Homicide, North,Centerville,AZ,7801 Maple Dr,26.778073,-119.194899,2018-05-24 15:58:33,OFF0053,Jennifer,Garcia,8060,SUS00028,Barbara,Scott,70,MALE,asian,VIC00765,Jennifer,Jackson,69,female,744-417-7917,hands,,Pending,No Arrest,0,40852.02,no,
INC000482,Narcotics, South,Hillcrest,NY,5281 Lincoln St,36.382612,-89.385534,2022-10-05 12:16:39,OFF0118,Richard,Thompson,1113,SUS00384,Mary,Scott,26,male,N/A,VIC00711,Sarah,Torres,21,FEMALE,471-350-1097,Hands/Feet,Crit,Under Investigation,Warning Issued,0,30173.5,1,Incident at 5281 Lincoln St. Officer responded at scene.
INC003956,Sexual Assualt,Midtown,Lakewood,NY,5620 Elm Blvd,35.355585,-90.877583,2018-12-03 18:49:17,OFF0057,Ashley,Hill,8927,SUS00497,Anthony,Jackson,66,FEMALE,Other,VIC00090,Barbara,Thompson,39,Male,377-347-5641,Firearm,1,Resolved,Arrest Made,2,33823.25,NO,
INC004230,Fire Setting,Sou,Maplewood,GA,5167 Cedar Lane,27.148476,-80.946078,11/15/2020 19:01,OFF0117,Matthew,Williams,8890,,,,,,,VIC00677,Mark,Martin,23,,329-872-7137,Firearm,,Under Investigation,Warning Issued,3,,0,Incident at 5167 Cedar Lane. Officer responded at scene.
INC000567,Drug Offence,Midtown,Maplewood,TX,2799 Washington Ave,47.521741,-104.824812,2024-11-14 06:49:42,OFF0133,Anthony,Flores,2812,SUS00386,Matthew,Lee,26,male,asian,VIC00211,Patricia,Young,38,female,745-880-2502,Knife,1,Open,Case Dismissed,4,3251.53,YES,Incident at 2799 Washington Ave. Officer responded at scene.
INC002306,Graffiti, Southeast,Riverside,IL,3774 Lincoln St,31.024657,-104.666615,2022-02-11 08:30:08,OFF0128,  Chris  ,Anderson,2414,SUS00223,Chris,Allen,26,f,Unknown,VIC00881,Barbara,Moore,,Unknown,439-356-6312,hands,2,open,Warning Issued,,,1,Incident at 3774 Lincoln St. Officer responded at scene.
INC000867,BURGLARY,North,Oakdale,NC,1212 Maple Dr,34.82311,-97.225538,2018-07-12 13:26:43,OFF0123,Nancy,Martin,3325,,,,,,,,,,,,,Blunt Object,Critical,Pending,,5,28975.86,yes,Incident at 1212 Maple Dr. Officer responded at scene.
INC003546,theft/larceny,Midtown  ,Centerville,FL,921 Cedar Lane,42.814437,-88.038978,2023-05-18 06:27:40,OFF0015,David,Scott,1379,SUS00575,Mark,Jones,44,Unknown,,VIC00332,Nancy,Allen,74,FEMALE,351-423-8351,Rifle,,Under Investigation,Warning Issued,,25250.59,NO,Incident at 921 Cedar Lane. Officer responded at scene.
INC000650,THEFT,South  ,Riverside,CA,3567 Washington Ave,45.744,-117.203431,2018-12-24 18:19:04,OFF0130,  donna  ,Scott,8850,,,,,,,VIC00833,Patricia,Davis,36,m,362-123-5079,hands,2,OPEN,Arres Made,2,21492.87,0,
INC004001,Trespass,CENTRAL,Hillcrest,NY,7883 Park Rd,26.183893,-116.922163,2024-02-05 17:11:19,OFF0003,William,Taylor,4897,SUS00280,Thomas,Hall,72,m,Hispanic,VIC00993,Richard,Nguyen,19,Male,828-228-1575,Hands/Feet,High,Pending,N/A,4,33414.71,True,Incident at 7883 Park Rd. Officer responded at scene.
INC004659,ARSON,  North,Lakewood,FL,5915 Main St,25.750817,-98.651542,2022-12-09 13:43:53,OFF0025,jennifer,Young,,SUS00514,William,Torres,41,male,white,VIC00812,Charles,Moore,78,MALE,378-722-4095,None,Medium,Investgation,N/A,4,42965.02,1,Incident at 5915 Main St. Officer responded at scene.
INC002962,Abduction,West,Oakdale,OH,237 Maple Dr,47.353581,-109.76991,2018-06-15 20:50:57,OFF0059,Carol,Brown,9011,SUS00671,Matthew,Davis,17,male,Asian,VIC00142,Jessica,Nguyen,21,f,5109132226,,Crit,,N/A,5,8345.88,1,Incident at 237 Maple Dr. Officer responded at scene.
INC000403,Drunk Driving,MIDTOWN,Riverside,NY,2584 Oak Ave,47.248778,-70.119269,2024-06-20 00:15:36,OFF0147,Joseph,Jones,2002,SUS00708,Michelle,Harris,63,Male,hispanic,VIC00335,Michelle,Martin,-54,male,493-745-7763,Rifle,MEDIUM,CLOSED,Arres Made,1,42957.18,yes,
INC000529,DUII,north,Fairview,FL,8485 Maple Dr,,-99.823607,2020-01-12 03:48:48,OFF0002,Donna,Thompson,8653,SUS00196,James,Thompson,73,Unknown,hispanic,VIC00129,Anthony,Smith,68,m,429-668-3734,Unarmed,2,CLOSED,warning,,45992.69,No,
INC003033,Cybercrime,Northeast  ,Riverside,CA,3853 Maple Dr,47.486281,-84.4065,2019-09-27 21:25:33,OFF0100,Linda,Taylor,5319,SUS00768,Carol,White,50,FEMALE,asian,VIC00499,Ashley,Jackson,10,f,682-660-7304,KNIFE,low,OPEN,arrest made,2.0,39258.03,Yes,Incident at 3853 Maple Dr. Officer responded at scene.
INC001611,Fraud, Northeast,Riverside,CA,1869 Cedar Lane,32.361281,-74.194224,2021-10-08 11:52:48,OFF0027,  Joseph  ,Hall,4323,,,,,,,VIC00193,Patricia,Green,18,male,716-975-8295,Pistol,Low,Resolved,Case Dismissed,0,31832.75,1,Incident at 1869 Cedar Lane. Officer responded at scene.
INC003846,Homicide,Southwest,Lakewood,NC,5327 Main St,37.225832,-106.451411,2020-07-17 10:10:56,OFF0017,John,Jackson,8968,,,,,,,VIC00874,Joseph,Williams,49,female,5515284227,blunt object,CRITICAL,OPEN,NO ARREST,1.0,14314.61,Yes,Incident at 5327 Main St. Officer responded at scene.
INC002810,manslaughter,Northeast  ,Lakewood,OH,8729 Sunset Blvd,,-115.686993,2020-08-17 09:51:32,OFF0095,Chris,Martin,5581,,,,,,,VIC00253,David,Moore,90,f,678-388-7476,Pistol,CRITICAL,under investigation,No Arrest,3,38587.52,True,Incident at 8729 Sunset Blvd. Officer responded at scene.
INC003225,Robbry,southwest,Lakewood,CA,3401 Washington Ave,40.068917,-97.577698,2019-10-29 17:10:36,OFF0113,James,Thomas,3272,SUS00332,Robert,Thompson,22,N/A,N/A,,,,,,,Unarmed,low,,No Arrest,3,24950.43,Yes,
INC003580,vandalism,Southwest,Fairview,OH,3642 River Rd,37.02668,-70.788066,11-10-2019,OFF0074,Charles,Wright,5870,SUS00788,Emily,Scott,39,Other,white,,,,,,,Firearm,Med,Investgation,NO ARREST,0,39046.99,NO,Incident at 3642 River Rd. Officer responded at scene.
INC001075,Vandlism,East,Fairview,TX,7867 Maple Dr,47.644934,-83.933901,2022-03-04 10:09:10,OFF0146,Jessica,Davis,2313,,,,,,,VIC00704,Michelle,Wright,45,Unknown,598-936-2315,N/A,1,N/A,N/A,2,4603.23,1,Incident at 7867 Maple Dr. Officer responded at scene.
INC002803,Vandlism,NORTHWEST,Springfield,FL,3987 River Rd,35.603016,-74.325311,2023-02-25 05:49:29,OFF0066,Carol,Torres,9588,,,,,,,VIC00258,Linda,Anderson,90,M,328-295-4128,Firearm,Low,Closed,Case Dismissed,5,18814.07,False,
INC004842,Sexual Assualt,southwest,Lakewood,NC,2154 Main St,39.038353,-112.629343,2022-04-18 08:01:12,OFF0042,Mark,Thomas,,SUS00580,Karen,Johnson,72,Female,White,VIC00979,Linda,Anderson,78,Male,384-738-2609,Unarmed,4,Closed,Dismissed,5,,1,Incident at 2154 Main St. Officer responded at scene.
INC000028,FRAUD,northeast,Fairview,FL,1252 Washington Ave,39.564167,68.4369,2019-08-26 10:30:28,OFF0090,Susan,Wright,3419,,,,,,,VIC00263,Nancy,Jones,19,Other,991-743-9095,,2,Resolved,Arres Made,3,34056.67,False,Incident at 1252 Washington Ave. Officer responded at scene.
INC000495,Fire Setting, Central,Centerville,CA,3975 Maple Dr,26.017491,,2021-11-30 22:06:21,OFF0131,Nancy,Jackson,9496,SUS00748,Michael,Taylor,37,N/A,hispanic,VIC00014,Joseph,Davis,22,m,374-960-4572,Hands/Feet,MEDIUM,closed,arrest made,5,2135.4,NO,Incident at 3975 Maple Dr. Officer responded at scene.
INC000788,Burglary,West,Fairview,IL,2062 Washington Ave,39.660225,-87.953205,2024-01-15 01:03:50,OFF0045,susan,Walker,2110,,,,,,,VIC00925,Mary,Miller,55,Unknown,5079801235,Gun,High,N/A,Arres Made,2,3152.67,yes,Incident at 2062 Washington Ave. Officer responded at scene.
INC001664,VANDALISM,South,Oakdale,TX,912 River Rd,32.954956,-105.691779,2018-10-19 14:21:21,OFF0056,Thomas,Jones,3800,SUS00169,Nancy,Scott,27,F,white,VIC00524,Anthony,Wilson,88,Unknown,,Pistol,High,Open,,4,27245.81,NO,
INC001691,Burglary,SOUTHEAST,Centerville,CA,4356 River Rd,31.325604,-86.792666,2023-09-14 21:53:45,OFF0119,John,Flores,6210,SUS00216,Michael,Harris,41,male,Unknown,VIC00115,William,Torres,74,Female,9345188511,hands,Critical,Closed,Warning Issued,0.0,36801.45,yes,Incident at 4356 River Rd. Officer responded at scene.
INC002005,Drug Offence,Nor,Riverside,AZ,7062 Main St,37.726638,-87.455628,2022-01-11 18:42:34,OFF0073,Anthony,Nguyen,7616,SUS00421,Daniel,Brown,,Male,Asian,VIC00025,Donna,Anderson,59.0,Other,8442802406,KNIFE,4,closed,Arrest Made,3,13173.14,yes,Incident at 7062 Main St. Officer responded at scene.
INC003053,Drunk Driving,North,Springfield,GA,463 Cedar Lane,29.529052,-81.066666,2021-05-12 13:40:27,OFF0086,Mark,Jones,3148,SUS00495,Charles,Hill,47.0,f,asian,,,,,,,Rifle,,Resolved,Arrest Made,4,46590.53,False,Incident at 463 Cedar Lane. Officer responded at scene.
INC000531,Sexual Assault,central,Springfield,AZ,349 Maple Dr,40.945427,-97.131481,2020-01-26 17:47:08,OFF0108,Mary,Scott,2868,SUS00343,Chris,Young,22,Female,white,VIC00039,Patricia,Johnson,18,F,925-948-3480,N/A,Low,Open,Dismissed,0,6727.52,NO,Incident at 349 Maple Dr. Officer responded at scene.
INC002685,Arsen,CENTRAL,Lakewood,TX,2165 Park Rd,47.065243,-88.892191,2022-11-08 21:06:58,OFF0065,Patricia,Thompson,9431,SUS00314,Linda,Hall,57,Female,Black,VIC00032,Michelle,Young,59,N/A,727-345-9459,Firearm,,,Arres Made,0,14948.62,yes,Incident at 2165 Park Rd. Officer responded at scene.
INC000527,Sexual Assualt,North,Oakdale,GA,5207 River Rd,31.482141,-116.280528,09-12-2024,OFF0116,Karen,Wilson,1591,SUS00094,Nancy,Johnson,24,MALE,Unknown,VIC00106,Nancy,Martin,287,,920-309-8925,Hands/Feet,high,Closed,No Arrest,2,25797.84,1,Incident at 5207 River Rd. Officer responded at scene.
INC002394,Drunk Driving,Nor,Centerville,NY,6051 Maple Dr,,-102.889354,,OFF0060,Jennifer,Green,8180,,,,,,,VIC00204,Barbara,Jones,,male,331-150-7701,Knife,high,under investigation,NO ARREST,0,49665.1,True,Incident at 6051 Maple Dr. Officer responded at scene.
INC003962,Murder, Southeast,Oakdale,NC,5641 River Rd,26.082207,-91.941329,,OFF0050,Michael,Davis,2667,SUS00128,David,Walker,39,F,,VIC00781,Michael,White,32,m,944-846-7596,Blunt Object,CRITICAL,OPEN,warning,1,30983.34,False,Incident at 5641 River Rd. Officer responded at scene.
INC000888,Kidnaping,  Northwest    ,Lakewood,FL,5868 Cedar Lane,34.733729,,,OFF0048,CHARLES,Jackson,8057,,,,,,,VIC00370,Sarah,Wilson,-80,Male,772-419-4289,Unarmed,,Closed,,4,8046.58,yes,Incident at 5868 Cedar Lane. Officer responded at scene.
INC000439,DRUG OFFENSE,Midtown,Maplewood,PA,1875 Main St,26.399142,-90.716018,2019-11-12 14:32:29,OFF0015,William,Jackson,7691,,,,,,,VIC00131,Thomas,Jones,68,Female,230-191-3879,KNIFE,4,Under Investigation,Arres Made,5,49510.26,,Incident at 1875 Main St. Officer responded at scene.
